slug,traveler,segment,stop_index,stop_name,lat,lng,date,date_confidence
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The House of Levi in Egypt,0,"Goshen, the birth in the house of Levi",30.57,31.95,-1396-01-01,"Reconstruction. No verse gives Aaron's birth year or birthplace. The year is arithmetic from the Seder Olam anchor of 1313 BCE for the Exodus, at which Exodus 7:7 makes Aaron 83; the place is inferred from the settlement of Israel in the eastern Delta, and Goshen is a region, not a site. The rival Ramesside chronology would move the birth some hundred years later."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The House of Levi in Egypt,1,"Horeb, the mountain of God: the brothers meet",28.539,33.975,-1313-01-20,The meeting is attested; the date is placed shortly before the first audience with Pharaoh on the 1313 BCE reckoning. The identification of the mountain of God with Jabal Musa is Byzantine monastic tradition and carries no textual or archaeological warrant.
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The House of Levi in Egypt,2,"Goshen, the signs before the elders",30.57,31.95,-1313-02-01,"Attested as an event, undated in the text; placed here immediately before the first audience with Pharaoh, which the narrative makes follow it directly."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Rod Before Pharaoh,3,"Pi-Ramesses, the first demand before Pharaoh",30.808,31.833,-1313-02-10,"Attested as an event, undated in the text. The 1313 BCE year follows Exodus 7:7 read against the Seder Olam anchor. The court is placed at Pi-Ramesses rather than at Zoan: Tanis is unattested before the 19th Dynasty and became a capital only later, so Psalm 78's field of Zoan is a retrojection."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Rod Before Pharaoh,4,"Pi-Ramesses, the rod that becomes a serpent",30.808,31.833,-1313-02-20,"Attested as an event, undated in the text; placed between the first audience and the plague of blood, the order the narrative gives."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Rod Before Pharaoh,5,"The Nile, the water turned to blood",30.6,31.5,-1313-03-01,"Attested as an event, undated in the text. Coordinates are a Delta reach of the river, not a located site."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Rod Before Pharaoh,6,"The canals of Egypt, the frogs",30.7,31.6,-1313-03-15,"Attested as an event, undated in the text. The chapter and verse differ by system: Hebrew numbering puts Aaron's act at Exodus 8:1-2, English numbering at 8:5-6."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Rod Before Pharaoh,7,"The dust of Egypt, the lice",30.7,31.6,-1313-03-20,"Attested as an event, undated in the text."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Rod Before Pharaoh,8,"Rameses, the night of the going out",30.808,31.833,-1313-04-15,"The fifteenth of the first month is the date the text itself fixes for the departure; the year is the Seder Olam anchor and is traditional, not attested."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,9,"Succoth, the first encampment",30.5519,32.0986,-1313-04-15,"The first station is attested; the identification with Tell el-Maskhuta is a modern proposal, and the same tell is elsewhere proposed as Pithom. Coordinates are the tell's."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,10,"Pi-hahiroth, the sea in front and the chariots behind",29.877,32.658,-1313-04-18,"The encampment is attested; the site is not. The coordinates follow the traditional anchor at Ayun Musa, one candidate among several, and are marked as reconstruction."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,11,"The far shore, the song at the sea",29.9,32.5,-1313-04-21,"The crossing is attested; its location is among the most disputed points in the whole itinerary, with candidates from the Bitter Lakes to Lake Ballah to the Gulf of Aqaba. The seventh day from the departure is the traditional reckoning."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,12,"Marah, the bitter water made sweet",29.39,33.06,-1313-04-24,"Three days into the wilderness of Shur, per the text. The site is traditionally Ain Hawarah, which has no authoritative published coordinate; the position given is fixed by the itinerary order, since Marah must lie north of Wadi Gharandel, the candidate for the next station."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,13,"Elim, twelve springs and seventy palms",29.3,32.9667,-1313-04-27,The station is attested; the identification with Wadi Gharandel is traditional and contested. Har-El argued in 1968 for Uyun Musa on the strength of twelve springs and date palms recorded there in 1907; Hoffmeier objects that Uyun Musa lies only some twelve kilometres from the previous station. Not adjudicated here.
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,14,"The wilderness of Sin, the bread from heaven",28.8667,33.3167,-1313-05-15,"The fifteenth day of the second month is given by the text. The wilderness of Sin has no secure identification whatsoever; the coordinates are a point on the presumed route and should be read as a placeholder, not a location."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Sea and the Bitter Water,15,"Rephidim, the hands held up until sunset",28.68,33.65,-1313-06-01,"The battle is attested; the identification of Rephidim with the Feiran oasis is one of several traditional proposals and is not secure. The date is placed in the third month, before the arrival at Sinai."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Sinai, the Vision and the Calf",16,"Mount Sinai, the elders see the God of Israel",28.539,33.975,-1313-06-07,"The covenant meal is attested; the day is placed in the third month, after the giving of the words and the ordinances. The identification of Sinai with Jabal Musa is Byzantine monastic tradition."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Sinai, the Vision and the Calf",17,"The foot of the mountain, left in charge of the camp",28.5717,33.966,-1313-06-10,"Attested. The camp is placed at Er-Raha, the plain below Jabal Musa, on the same monastic identification that fixes the mountain."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Sinai, the Vision and the Calf",18,"Er-Raha, the calf out of the fire",28.5717,33.966,-1313-07-15,"Attested as an event, undated in the text; placed at the end of the forty days, on the traditional reckoning that puts Moses' descent on the seventeenth of the fourth month."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Sinai, the Vision and the Calf",19,"Er-Raha, the altar and the feast set for tomorrow",28.5717,33.966,-1313-07-16,"Attested as an event, undated in the text; the day before Moses' descent on the traditional reckoning."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Sinai, the Vision and the Calf",20,"Er-Raha, I did not know that this calf would come out",28.5717,33.966,-1313-07-17,"Attested as an event, undated in the text; the seventeenth of the fourth month is the traditional date of the descent and the breaking of the tablets."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Vestments and the Fire,21,"Er-Raha, the garments for glory and for beauty",28.5717,33.966,-1312-03-15,"The pattern is given at Exodus 28 and the making reported at Exodus 39, neither dated; placed here before the ordination, which the traditional reckoning puts in the last week of Adar."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Vestments and the Fire,22,"The Tent of Meeting, seven days of ordination",28.5717,33.966,-1312-03-23,"The seven days of the milu'im are attested at Leviticus 8; the traditional reckoning places them on the twenty-third to twenty-ninth of Adar, immediately before the erection of the Tabernacle on the first of Nisan in the second year."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Vestments and the Fire,23,"The Tabernacle, the eighth day and the fire",28.5717,33.966,-1312-04-01,"The eighth day of Leviticus 9 is counted from the start of the seven days of ordination in Adar, and so falls on the first of Nisan in the second year, the same day the Tabernacle was raised at Exodus 40:17. It is not the eighth of Nisan, as the pool material had it."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Vestments and the Fire,24,"The Tabernacle, Nadab and Abihu",28.5717,33.966,-1312-04-01,"The text places the deaths on the same eighth day as the first service, and so on the first of Nisan of the second year on the traditional reckoning."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Vestments and the Fire,25,"Er-Raha, the numbering of the host",28.5717,33.966,-1312-05-01,"Numbers 1:1 fixes this on the first day of the second month in the second year after the going out of Egypt. The pool material had dated it a month early, which had wrongly folded it into the ordination cluster."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Paran, the Murmuring and the Revolt",26,"Hazeroth, the words against Moses",28.98,34.47,-1312-06-10,"Attested as an event, undated in the text beyond its position after the departure from Sinai. The identification of Hazeroth with Ain Khadra is traditional."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Paran, the Murmuring and the Revolt",27,"Kadesh-barnea, the scouts come back",30.6547,34.4181,-1312-07-01,"Attested as an event, undated in the text. The identification of Kadesh-barnea with Ein Qudeirat is the standard modern proposal and is reasonably secure by the standards of this itinerary."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Paran, the Murmuring and the Revolt",28,"Kadesh, Korah against the priesthood",30.664,34.42,-1311-01-01,"The revolt is attested; the text fixes no year for it anywhere within the forty. The date given is a placement within the wilderness period, not a claim."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Paran, the Murmuring and the Revolt",29,"Kadesh, the censer between the dead and the living",30.664,34.42,-1311-01-02,"Attested as an event, undated in the text; it follows Korah's destruction by one day in the narrative."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"Paran, the Murmuring and the Revolt",30,"Kadesh, the rod that bore almonds",30.664,34.42,-1311-01-15,"Attested as an event, undated in the text; it follows the censer episode directly in the narrative. Verse numbering differs by system: Numbers 17:16-23 in the Hebrew, 17:1-8 in the English."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),Meribah and Mount Hor,31,"Kadesh, the death of Miriam",30.6547,34.4181,-1273-04-01,"The first month of the fortieth year is given by the text, which does not name the day. The year follows the Seder Olam anchor."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),Meribah and Mount Hor,32,"Meribah, the rock struck twice",30.664,34.418,-1273-04-10,"Attested as an event, undated in the text beyond its position in the first month of the fortieth year."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),Meribah and Mount Hor,33,"Mount Hor, the garments taken off",30.317,35.407,-1273-08-01,"Numbers 33:38 fixes the first day of the fifth month in the fortieth year after the going out of Egypt; on the traditional reckoning that is the first of Av. The identification of Mount Hor with Jabal Harun above Petra is traditional, held in common by Jewish, Christian, and Muslim veneration."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),Meribah and Mount Hor,34,"Mount Hor, the cave and the made bed",30.317,35.407,-1273-08-01,"The death on the mountain is attested at Numbers 20:28 and dated by Numbers 33:38. The cave, the bed, the lamp, and the sequence of instructions are Rashi's, drawn from midrash, and are tradition rather than text."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),Meribah and Mount Hor,35,"The camp below Mount Hor, thirty days of weeping",30.317,35.407,-1273-08-02,"Attested at Numbers 20:29, undated beyond following the death directly. The detail of the ministering angels showing the bier is Rashi's, from midrash."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,36,"The Temple Mount, the priesthood comes indoors",31.778,35.2354,-0959-10-01,traditional; the dedication of Solomon's temple as dated elsewhere in the corpus
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,37,"Jerusalem, be of the disciples of Aaron",31.7767,35.2345,-0010-01-01,"The saying is attributed to Hillel the Elder, teaching in Jerusalem in the generation before the destruction of the Temple; no date attaches to its utterance. It is preserved in the Mishnah, compiled around 200 CE. The year here is a placement within Hillel's floruit."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,38,"Rome, Josephus climbs the mountain again",41.8931,12.4828,0093-01-01,attested to within a year or two; the Jewish Antiquities are conventionally dated to 93 or 94 CE
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,39,"Jabal Harun, the monks on the summit",30.317,35.407,0450-01-01,"The Finnish Jabal Harun Project excavated a Byzantine monastery and pilgrimage complex on the mountain between 1997 and 2013, with occupation running from about the fifth to the ninth century. The excavation reports were not obtained directly for this file; the account here rests on summary and is marked as reconstruction."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,40,"Canterbury, Aaron in the glass",51.2795,1.0837,1200-01-01,"The typological glass cycle at Canterbury Cathedral was made in stages between about 1178 and 1220; the date given is a midpoint. The Biblia Pauperum block-book tradition that shares the same typological scheme is a later, fifteenth-century genre."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,41,"Mount Hor, the Latin pilgrim's account",30.317,35.407,1280-01-01,Burchard of Mount Sion wrote his Descriptio Terrae Sanctae around 1280. The text was not consulted directly for this file and the description of the Mount Hor shrine is known here at second hand only.
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,42,"Jabal Harun, the white dome",30.317,35.407,1320-01-01,"The inscription above the door gives 719 AH, which is 1319 or 1320 CE, in the reign of the Mamluk sultan al-Nasir Muhammad ibn Qalawun. The pool material dated the building to 1458-1459 under Sultan Sayf al-Din Inal; no source supporting that could be reached, and it is withdrawn here."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,43,"London, Poussin's dance around the calf",51.5089,-0.1283,1633-01-01,"The Adoration of the Golden Calf is dated to about 1633-1634 and hangs in the National Gallery, London. The single year given is the earlier bound of that range."
aaron_the_levite,Aaron the Levite (Aharon ben Amram),The Mountain of Aaron,44,"Jabal Harun, the traveller who came to sacrifice a goat",30.317,35.407,1812-08-22,"attested; Burckhardt reached the Petra valley on 22 August 1812, and his account was published posthumously in 1822"
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Caspian Shore,0,"Na'if, birth on the first of Ramadan",37.548,49.136,1077-01-01,"The day is attested as 1 Ramadan 470 AH. Reference sources give the Common Era equivalent as 1077 or 1078 and fix no month, so the year is defaulted to 01-01."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Caspian Shore,1,"Na'if, the infant who will not drink by day",37.548,49.136,1078-01-01,"Undated devotional tradition, placed here at the first Ramadan of his infancy. No primary hagiography could be fetched this session: sunnah.org and masud.co.uk both returned 404."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Caspian Shore,2,"Gilan, the house without a father",37.548,49.136,1085-01-01,"Undated. Tradition places the father's death in the boy's childhood and gives no year; the date here is a placement inside that window, not a claim."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Caspian Shore,3,"Gilan, the road out at eighteen",37.548,49.136,1095-01-01,The departure and the year 1095 are attested in standard reference biography. The forty dinars and the vow are hagiography and carry no date.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Caspian Shore,4,"Near Hamadan, the truth told to the bandits",34.7983,48.5147,1095-06-01,Traditional. The robbery is hagiography; no source fixes where on the road it happened. Hamadan sits on the standard medieval route from Gilan to Iraq and is used as the conventional site. The bandit chief is unnamed in the standard tellings.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Schools of Bab al-Azaj,5,"Baghdad, the cup filled to the brim",33.3364,44.4076,1095-09-01,"Legendary and undated. Wikipedia's Qadiriyya article presents the cup and the rose as a founding narrative of the order, not as an event."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Schools of Bab al-Azaj,6,"Baghdad, the school of Abu Sa'id al-Mukharrimi",33.3364,44.4076,1096-01-01,The pupillage and the Bab al-Azaj siting are attested; no source dates the years of study.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Schools of Bab al-Azaj,7,"Baghdad, the circles of Ibn Aqil and Ja'far al-Sarraj",33.3152,44.3661,1100-01-01,"Undated. Both pupillages are attested; no source gives years, and no building or quarter is named for either."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Schools of Bab al-Azaj,8,"Baghdad, the seller of date syrup",33.3152,44.3661,1105-01-01,Undated. The mentorship is attested in standard reference biography with no year and no named place.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Schools of Bab al-Azaj,9,"Baghdad, the ground near Bab Khurasan",33.3,44.4,1106-01-01,"A placement, not an event, set at the late end of the student years so the segment reads in order. No source records al-Jilani going to this ground. The pin is the one the atlas already carries for the execution of al-Hallaj."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Waste Years,10,"Iraq, twenty-five years without a place name",33.3152,44.3661,1110-01-01,Undated and unlocated. Tradition gives roughly twenty-five years of retreat in the deserts and ruins of Iraq and no site survives in any reachable source. The pin is Baghdad because Baghdad is the only fixed point; this is stated as a gap rather than filled with invented places.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Waste Years,11,"Baghdad, the chair of his dead teacher",33.3364,44.4076,1119-01-01,Attested to 1119 in Wikipedia's 'Qadiriyya' article. It sits in direct tension with the 1127 date the same encyclopaedia gives for his return to public preaching; the tension is carried in the next stop and not resolved.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Waste Years,12,"Baghdad, the eight years nobody accounts for",33.3364,44.4076,1120-01-01,"This stop is the contradiction itself. One Wikipedia article dates his succession to the school to 1119; another dates his return to open preaching to 1127. Either he held the school quietly for eight years or one of the dates is imprecise. Printed, not adjudicated."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Waste Years,13,"Baghdad, the night he dreams of Iblis",33.3152,44.3661,1123-02-01,"The single precisely dated event of the retreat window. The twenty-first discourse of Futuh al-Ghaib is headed with the night of Sunday, 12 Dhu'l-Hijja, AH 516, which falls in early 1123; the day of the Common Era month is approximated."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Chair Outside the Gate,14,"Baghdad, the chair on the open ground",33.3364,44.4076,1127-01-01,"The 1127 return to public preaching is attested. The detail of a chair set up outside the gate because no room would hold the crowd is traditional narrative, not confirmed to a primary text this session."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Chair Outside the Gate,15,"Baghdad, the school enlarged",33.3364,44.4076,1130-01-01,"Undated. The expansion is attested without a year. The name Madrasa al-Qadiriyya is retrospective, attached after his death by the order named for him, and is not what the building was called while he taught in it."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Chair Outside the Gate,16,"Baghdad, mornings of tafsir, afternoons of discipline",33.3364,44.4076,1132-01-01,Undated. The teaching pattern is attested without any year attached.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Chair Outside the Gate,17,"Baghdad, the birth of Abd al-Razzaq",33.3364,44.4076,1134-01-01,The year 1134 is attested for the son's birth; no month or day is given.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Chair Outside the Gate,18,"Baghdad, the household and the crowd",33.3364,44.4076,1140-01-01,"Undated, and the figures are unverified. Tradition gives four wives and a family variously counted at forty-nine children, twenty-seven of them sons, and hundreds of conversions after his sermons. None of these numbers could be cross-checked against a primary genealogical or chronicle text this session."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Books,19,"Baghdad, al-Ghunya li-Talibi Tariq al-Haqq",33.3364,44.4076,1150-01-01,"Undated. The attribution is stable across reference listings; no source dates the composition, and no critical edition was consulted this session."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Books,20,"Baghdad, the discourses gathered as Futuh al-Ghaib",33.3364,44.4076,1152-01-01,Undated. The discourses were spoken over years and collected afterward; only the twenty-first carries an internal date. Composition dating not checked against a critical edition.
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Books,21,"Baghdad, al-Fath al-Rabbani and a disputed title",33.3364,44.4076,1155-01-01,"Undated, and one attribution is unsettled. Al-Fath al-Rabbani is listed under his name without dispute. Jila' al-Khatir is listed under his name in one Wikipedia article and under his son Abd al-Razzaq's name, as Jala-ul-Khawatir, in another. The usual scholarly reading is that these are the father's sermons compiled by the son. Not resolved here."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Books,22,"Baghdad, Sirr al-Asrar and the other book of that name",33.3364,44.4076,1158-01-01,"Undated. The attribution of Kitab Sirr al-Asrar wa Mazhar al-Anwar to al-Jilani is stable in reference listings. The title collision noted in this stop is flagged as a bibliographic hazard, not as a claim about him."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Wonders Told Afterward,23,"The Tigris at Baghdad, the boat that does not founder",33.32,44.393,1145-01-01,"Undated karamat. No source names a landmark or a bank, and the point given is an approximate position on the channel through central Baghdad, corrected from a pooled coordinate that fell two and a half kilometres inland."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Wonders Told Afterward,24,"Mecca, the pilgrim who is also in Baghdad",21.4225,39.8262,1150-01-01,"Undated, and internally contradictory. The best-known version holds he was seen performing the Hajj rites at Mecca while physically preaching in Baghdad; a less common strand insists on an actual physical pilgrimage. The two strands contradict each other and neither is resolved in any source reachable this session."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",The Wonders Told Afterward,25,"Baghdad, the foot on the neck",33.3364,44.4076,1160-01-01,"Undated tradition, and verified absent from his own writings: the full texts of both English translations of Futuh al-Ghaib were searched this session for the phrases foot is on, neck of every, and necks of every, with zero hits in either. The saying belongs to the Ghawth al-A'zam legend, not to the discourses."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",Bab al-Sheikh,26,"Baghdad, death at the madrasa",33.3364,44.4076,1166-01-01,"The day is attested as 11 Rabi' al-Thani 561 AH and the Common Era year as 1166. No reachable source states a Common Era month; a lens of the research pool gave May, which does not correspond to the AH date, and is not carried. Defaulted to 01-01."
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam",Bab al-Sheikh,27,"Bab al-Azaj, the gate takes his name",33.3364,44.4076,1166-01-02,"Attested burial at his own madrasa at Bab al-Azaj. The coordinates are the mausoleum's own, and are byte-identical to the pin abdelkader.journey.json already uses for this shrine; a third figure carried in the research pool was 1.7 km off and is discarded."
