slug,traveler,title,years,register,n_segments,n_stops,first_date,last_date,path,status,dossier_path
aaron_the_levite,Aaron the Levite (Aharon ben Amram),"The Rod and the Breastplate: Aaron of the House of Levi, from the Dust of Egypt to the Cave on Mount Hor",1396-1273 BCE (traditional),national mythology: the canon is true,8,45,-1396-01-01,1812-08-22,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/aaron_the_levite.journey.json,built,
abd_al_qadir_al_jilani,"Abd al-Qadir al-Jilani (Abdul Qadir Gilani), Ghawth al-A'zam","The Gate That Took His Name: Gilan to Bab al-Sheikh, and the Order Built on a Grave",1077-1166,national mythology: the canon is true,9,44,1077-01-01,2000-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abd_al_qadir_al_jilani.journey.json,built,
abdelkader,Emir Abdelkader ibn Muhieddine (Abd al-Qadir al-Jaza'iri),"The Zawiya to the Tomb of the Shaykh: the Emir, the Iron Years, and the Rescue of Damascus",1808-1883,national mythology — the canon is true,9,42,1808-09-06,1883-05-27,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abdelkader.journey.json,built,
abraham,Abraham (Avraham / Ibrahim),The Journey of Abraham: Ur of the Chaldees to the Cave of Machpelah,c. 1813–1638 BC,"national mythology, the canon is true",9,32,-1813-01-01,-1638-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abraham.journey.json,built,
abraham_lincoln,Abraham Lincoln,"Sinking Spring to Oak Ridge: the Rail-Splitter, the Greenbacks, and the Long Train Home",1809-1865,national mythology: the canon is true,9,45,1809-02-12,1927-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abraham_lincoln.journey.json,built,
abu_bakr_as_siddiq,Abu Bakr as-Siddiq (Abd Allah ibn Abi Quhafa),The Second of the Two: from the Camel Pens of Mecca to the Chamber Beside the Prophet,c. 573-634,national mythology: the canon is true,9,44,0573-01-01,1926-04-21,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abu_bakr_as_siddiq.journey.json,built,
abu_karib,"Abu Karib As'ad (Tiban As'ad Abu Karib, As'ad al-Kamil), king of Saba', Dhu Raydan, Hadramawt and Yamnat","The Tubba' and the Two Rabbis: Himyar, the March North, and the Kingdom That Turned to Rahmanan",c. 375-420 CE (reign; birth and death years unrecorded),national mythology: the canon is true,7,35,0350-01-01,1998-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abu_karib.journey.json,built,
abu_yazid_al_bistami,Abu Yazid Tayfur ibn Isa al-Bistami (Bayazid Bastami),"The Man Who Did Not Travel: Bestam, the Sealed Room, and the Four Words Persian Could Not Put Down",c. 804-875 (both ends disputed),national mythology: the canon is true,9,42,0780-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/abu_yazid_al_bistami.journey.json,built,
aby_warburg,Aby Moritz Warburg,"The Birthright Sold for Books: Warburg, the Hopi Mesas, and the Atlas of Memory",1866-1929,national mythology: the canon is true,8,45,1866-06-13,1944-11-28,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/aby_warburg.journey.json,built,
ada_lovelace,"Augusta Ada King, Countess of Lovelace (Ada Byron)","The Loom and the Engine: Byron's Daughter, the Analytical Engine, and the Notes Signed A.A.L.",1815-1852,national mythology: the canon is true,8,45,1815-12-10,2025-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ada_lovelace.journey.json,built,
adam_smith,Adam Smith,"The Customs Officer's Son: Kirkcaldy, Toulouse, and the Book Begun to Pass the Time",1723-1790,national mythology: the canon is true,7,44,1723-06-05,2018-11-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/adam_smith.journey.json,built,
adi_shamir,Adi Shamir,"The Letter S: Tel Aviv to Rehovot, and the Lock Built from Two Primes",1952-,national mythology: the canon is true,7,45,1952-07-06,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/adi_shamir.journey.json,built,
adnan_khashoggi,Adnan Muhammad Khashoggi,"The Physician's Son: Mecca, the Commission, and the Yacht Named for a Daughter",1935-2017,national mythology: the canon is true,8,45,1935-07-25,2018-10-02,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/adnan_khashoggi.journey.json,built,
adriano,"Publius Aelius Hadrianus (Adriano, Hadrian)","The Emperor Who Drew the Line: Italica, the Wall, the Nile, and the Drum on the Tiber",76-138,national mythology: the canon is true,9,44,0076-01-24,1834-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/adriano.journey.json,built,
aeneas,Aeneas (Aineías / Aeneas Anchisiades),The Aeneid: from Burning Troy to Latium,c. 1184-1177 BC (traditional; the fall of Troy to the founding of the Roman line),national mythology: the canon is true,7,35,-1184-06-01,-1180-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/aeneas.journey.json,built,
agha_hasan_abedi,Agha Hasan Abedi,"The Bank of the Invisible: Lucknow, Abu Dhabi, and the Seventy-Eight Countries",1922-1995,national mythology: the canon is true,8,45,1922-05-14,2023-03-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/agha_hasan_abedi.journey.json,built,
agusti_querol_subirats,Agustí Querol i Subirats (Agustín Querol Subirats),"The Baker's Son: Dough, Marble, and the Monuments Spain Shipped Across the Ocean",1860-1909,national mythology: the canon is true,9,43,1860-05-17,2023-05-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/agusti_querol_subirats.journey.json,built,
ahmad_al_majriti,"Ahmad al-Majriti (the name over the Rutbat al-Hakim and the Ghayat al-Hakim; in the sources a patronymic, ibn Ahmad, son of Ahmad)",The Son of Ahmad: A Patronymic Comes Loose and Travels Nine Centuries Under Its Own Name,c. 906-1007 (the men behind the name); 1360-2026 (the name in transit),national mythology: the canon is true,8,42,0865-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ahmad_al_majriti.journey.json,built,
ahmad_al_qalqashandi,Ahmad al-Qalqashandi (Shihab al-Din Abu al-Abbas Ahmad ibn Ali ibn Ahmad al-Fazari al-Shafi'i al-Qalqashandi),"The Dawn of the Blind: a Delta Village, the Scribe of the Scroll, and the Cipher Chapter That Outlived the Mamluks",1355-1418,national mythology: the canon is true,8,39,0850-01-01,2017-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ahmad_al_qalqashandi.journey.json,built,
aime_bonpland,"Aimé Jacques Alexandre Goujaud, called Bonpland",Six Thousand Plants and Nine Years in Paraguay: from La Rochelle to the Uruguay River,1773-1858,national mythology: the canon is true,9,42,1773-08-28,1858-05-11,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/aime_bonpland.journey.json,built,
aishah,Aishah bint Abi Bakr,Mecca to Basra: the Mother of the Believers and the Day of the Camel,c. AD 614-678,national mythology — the canon is true,8,40,0614-01-01,0678-07-17,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/aishah.journey.json,built,
al_ghafiqi,Abd al-Rahman ibn Abd Allah al-Ghafiqi,The Tihamah to the Pavement of the Martyrs: the Wali of al-Andalus and the Farthest Ride North,birth year unrecorded - 732 (the documented life runs 721-732),national mythology: the canon is true,9,39,0685-01-01,1833-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/al_ghafiqi.journey.json,built,
al_kamil,Al-Malik al-Kamil (al-Malik al-Kamil Nasir al-Din Muhammad ibn al-Adil),Cairo to Damascus: the Sultan Who Gave Away Jerusalem Twice,1180-1238,national mythology — the canon is true,8,38,1180-01-01,1238-03-07,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/al_kamil.journey.json,built,
al_khalil_ibn_ahmad_al_farahidi,Al-Khalil ibn Ahmad al-Farahidi,"The Reed Hut at Basra: the Five Circles, the Marks on the Script, and the First Dictionary",c. 718-786/791,national mythology: the canon is true,8,43,0500-01-01,2000-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/al_khalil_ibn_ahmad_al_farahidi.journey.json,built,
al_kindi,Abu Yusuf Ya'qub ibn Ishaq al-Kindi,"The Philosopher of the Arabs: Kufa, Baghdad, and the Treatise That Waited Eleven Hundred Years",c. 801-873,national mythology: the canon is true,9,43,0300-01-01,1992-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/al_kindi.journey.json,built,
alan_turing,Alan Mathison Turing,The Universal Machine: from Maida Vale to Wilmslow by way of Hut 8,1912-1954,national mythology: the canon is true,9,44,1912-06-23,2021-06-23,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alan_turing.journey.json,built,
albert_camus,Albert Camus,The Wrong Side and the Right Side: from Belcourt to Le Grand Fossard,1913-1960,national mythology: the canon is true,9,44,1913-11-07,1994-04-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/albert_camus.journey.json,built,
alberto_gerchunoff,Alberto Gerchunoff (born Abraham Gerchunoff),"From Podolia to the Pampas: the Jewish Gauchos, La Nación, and the Homeland That Is Not a Territory",1883-1950,national mythology: the canon is true,9,45,1883-01-01,1975-05-22,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alberto_gerchunoff.journey.json,built,
alejandro_christophersen,Alejandro Christophersen,The Consul's Son: a Cadiz-born Norwegian who built the face of Buenos Aires,1866-1946,national mythology: the canon is true,9,44,1866-08-30,1946-02-04,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alejandro_christophersen.journey.json,built,
alexander,Alexander the Great (Alexandros III of Macedon),Pella to Babylon: the Son of Ammon and the Ends of the Earth,356-323 BC,"national mythology, the canon is true",9,45,-0356-07-20,-0321-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alexander.journey.json,built,
alexander_graham_bell,Alexander Graham Bell,"The House of Visible Speech: the Telephone, the Deaf, and the Mountain at Baddeck",1847-1922,national mythology: the canon is true,8,46,1847-03-03,2013-04-23,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alexander_graham_bell.journey.json,built,
alexander_hamilton,Alexander Hamilton,"The Counting House and the Ledge: Hamilton, the Public Credit, and the Palisades",1755-1804,national mythology: the canon is true,9,45,1755-01-11,2016-04-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alexander_hamilton.journey.json,built,
alexandra_david_neel,Alexandra David-Néel (Louise Eugénie Alexandrine Marie David; Alexandra Myrial; Yeshe Tome),Beyond the Garden Gate: the Opera Singer Who Walked Into Lhasa,1868-1969,national mythology: the canon is true,9,44,1868-10-24,2002-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alexandra_david_neel.journey.json,built,
alexis_de_tocqueville,Alexis-Charles-Henri Clérel de Tocqueville,The Pretext of Prisons: Tocqueville in America and the Old Regime at Home,1805-1859,national mythology: the canon is true,9,45,1805-07-29,1859-04-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alexis_de_tocqueville.journey.json,built,
alfred_jarry,Alfred Jarry,The Science of Imaginary Solutions: Jarry from the Mayenne to the Grave at Bagneux,1873-1907,national mythology: the canon is true,9,44,1873-09-08,1975-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alfred_jarry.journey.json,built,
allen_dulles,Allen Welsh Dulles,"The Manse to Herrengasse 23: the Brothers, the Bern Station, and the Craft of Not Being Photographed",1893-1969,national mythology: the canon is true,8,45,1893-04-07,1969-02-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/allen_dulles.journey.json,built,
alphonse_mucha,Alphonse Mucha (Alfons Maria Mucha),"The Poster and the Epic: a Moravian in Paris, and the Twenty Canvases He Went Home to Paint",1860-1939,national mythology: the canon is true,9,44,1860-07-24,1939-07-16,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alphonse_mucha.journey.json,built,
alvear,Carlos María de Alvear,De las Misiones a Nueva York: el arco del fundador,1789-1852,national mythology: the canon is true,8,57,1789-10-25,1852-11-06,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/alvear.journey.json,built,
