subject_slug,counterpart_slug,counterpart_name,type,type_label,sign,subtype,source,text
aaron_david_gordon,ahad_ha_am,Ahad Ha'am,3,discourse,,,own,"Gordon repeatedly engaged with Ahad Ha'am's cultural Zionism in his writings, including criticism of the spiritual-center thesis."
aaron_david_gordon,chaim_weizmann,Chaim Azriel Weizmann,5,friendship_meeting,,,own,"Weizmann repeatedly saw and was profoundly impressed by Gordon during his 1907 visit to Palestine, establishing a probable personal encounter."
aaron_david_gordon,gustav_landauer,Gustav Landauer,3,discourse,,,own,Gordon encountered Landauer's writings or ideas through the 1920 Prague conference milieu and recognized his own ideas in them.
aaron_david_gordon,kant,Immanuel Kant,1,wrote_about,-,,own,"Gordon discussed and responded to Kant's philosophy in developing his views of cognition, freedom, nature, and lived experience."
aaron_david_gordon,karl_marx,Karl Marx,1,wrote_about,-,,own,"Gordon wrote about Marx and Marxism, recognizing Marx's creative power and emphasis on labor while rejecting his determinism and collectivism."
aaron_david_gordon,nietzsche,Friedrich Nietzsche,1,wrote_about,-,,own,"Gordon analyzed Nietzsche's philosophy, praising its force of self-creation while rejecting the Übermensch, will to power, and isolated individuality."
aaron_david_gordon,theodor_herzl,Theodor Herzl,1,wrote_about,-,,own,Gordon wrote about Herzl's contribution to international recognition of Zionism while arguing that political authorization could not replace settlement and productive labor.
aaron_david_gordon,martin_buber,Martin Mordechai Buber,5,friendship_meeting,,,own,Gordon and Buber personally met while serving as delegates at the March 1920 Hapoel Hatzair–Tze'irei Zion conference in Prague.
aaron_david_gordon,martin_buber,Martin Mordechai Buber,1,wrote_about,+,,own,"After Gordon's death, Buber wrote several essays about him and later devoted part of his historical lectures on Zion to Gordon."
aaron_david_gordon,martin_buber,Martin Mordechai Buber,3,discourse,,,mirror,"Buber published, discussed, and helped transmit Gordon’s labor-centered ideas within their shared cultural-Zionist network."
aaron_david_gordon,benjamin_de_tudela,Rabbi Benjamin son of Jonah of Tudela,1,wrote_about,+,,mirror,Benjamin wrote about places and tomb traditions associated with this earlier biblical figure.
aaron_david_gordon,kant,Immanuel Kant,3,discourse,,,mirror,Kant explicitly credited Hume's written analysis of causation with disrupting his dogmatism and shaping his reconstruction of objective experience.
aaron_david_gordon,slavoj_zizek,Slavoj Žižek,3,discourse,,,mirror,Lynch is identified as a major cultural figure frequently central to Žižek's work.
aaron_the_levite,flavius_josephus,Flavius Josephus,1,wrote_about,+,,own,"Josephus later retold Aaron’s life, priesthood, succession, and death in Jewish Antiquities."
aaron_the_levite,maimonides,Maimonides,1,wrote_about,+,,own,"Maimonides later codified laws concerning Aaronic priests, high priests, sacrifices, purity, and descent."
aaron_the_levite,moses,Moses,5,friendship_meeting,,,own,Moses is portrayed as Aaron’s brother and closest collaborator who officiated at his ordination and death.
aaron_the_levite,rabbi_shimon_bar_yochai_rashbi,Rabbi Shimon bar Yochai,1,wrote_about,+,,own,Rabbinic works associated with Rabbi Shimon later transmitted traditions concerning Aaron and the priesthood.
aaron_the_levite,rashi,Rashi,1,wrote_about,+,,own,Rashi later commented extensively on episodes from Aaron’s life and priestly career.
aaron_the_levite,judah_loew_ben_bezalel_the_maharal_of_prague,Judah Loew ben Bezalel,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Loew wrote extensively about the biblical Aaron, explicitly interpreting *Pirkei Avot* 1:12—“be of the disciples of Aaron”—in *Derekh Ḥayyim*. He presents Aaron’s priestly love and pursuit of peace as forces joining human beings and creation to divine unity. “Aaron the Levite” is therefore a textual connection, not evidence of a personal associate bearing that name. [Primary-text entry](https://www.sefaria.org/Pirkei_Avot.1.12?with=Commentary+ConnectionsList)"
aaron_the_levite,king_david,David ben Jesse,9,shared_object_site,+,,mirror,Later Chronicles associates David with priestly and Levitical divisions rooted in Aaron’s institutional legacy.
aaron_the_levite,origen,Origen of Alexandria,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Origen repeatedly treated Aaron’s priesthood, vestments, sacrifices, and relationship to Moses in his Caesarean *Homilies on Exodus*, *Leviticus*, and *Numbers*, generally interpreting Aaronic institutions typologically in relation to Christ and the Church. The connection is textual, not historical contact."
aaron_the_levite,tertullian,Tertullian,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Tertullian discusses Aaron as Israel’s high priest in *De monogamia* 7 (written at Carthage, probably after c. 212) and reportedly devoted the now-lost *De Aaron vestibus* to Aaron’s priestly garments. ([*De monogamia*](https://www.newadvent.org/fathers/0406.htm))"
aaron_the_levite,ezekiel,Ezekiel son of Buzi,1,wrote_about,+,,mirror,Ezekiel's treatment of priestly identity and sanctuary law engaged the hereditary-priesthood tradition associated with Aaron.
aaron_the_levite,solomon,King Solomon,9,shared_object_site,+,,mirror,Solomon’s Jerusalem Temple priesthood was retrospectively connected to the earlier Aaronic and Levitical sacred tradition.
abd_al_qadir_al_jilani,junayd_al_baghdadi,Abu al-Qasim al-Junayd ibn Muhammad al-Baghdadi,9,shared_object_site,-,,own,"Later Qādirī initiatic chains connect al-Jīlānī backward to al-Junayd, although the accuracy of each intermediate link remains uncertain."
abd_al_qadir_al_jilani,ibn_arabi,Ibn Arabi,1,wrote_about,+,,own,Ibn ʿArabī later wrote about al-Jīlānī’s miracles and spiritual rank and compared his station with that of Abū al-Suʿūd.
abd_al_qadir_al_jilani,abdelkader,Emir Abdelkader ibn Muhieddine,9,shared_object_site,+,,own,Emir ʿAbd al-Qādir’s religious formation drew on the later Qādiriyya tradition named for al-Jīlānī.
abd_al_qadir_al_jilani,baha_al_din_naqshband,Muhammad Baha al-Din Naqshband Bukhari,9,shared_object_site,+,,own,Later composite lineages joined initiations associated with al-Jīlānī and Bahaʾ al-Dīn Naqshband without implying contact between them.
abd_al_qadir_al_jilani,muhammad,Muhammad ibn Abdullah,1,wrote_about,-,,own,Al-Jīlānī’s teachings present Muhammad’s Qurʾanic and prophetic example as their religious model.
abd_al_qadir_al_jilani,junayd_al_baghdadi,Abu al-Qasim al-Junayd ibn Muhammad al-Baghdadi,1,wrote_about,-,,mirror,Later Qadiri chains and literature presented Junayd as a central predecessor.
abd_al_qadir_al_jilani,rene_guenon,René Guénon,1,wrote_about,+,,mirror,Guénon referred to Sufi sainthood and initiatic lineages in which ʿAbd al-Qādir al-Jīlānī was authoritative.
abdelkader,abd_al_qadir_al_jilani,Abd al-Qadir al-Jilani,9,shared_object_site,-,,own,"Abdelkader, a later namesake associated with al-Jilani’s Qadiriyya lineage, visited the earlier saint’s Baghdad shrine."
abdelkader,ibn_arabi,Ibn Arabi,1,wrote_about,-,,own,"Abdelkader was the later thinker who studied, taught, interpreted, and preserved Ibn Arabi’s thought."
abdelkader,muhammad,Muhammad ibn Abdullah,1,wrote_about,-,,own,Abdelkader was the later figure whose religious thought and conduct drew on Muhammad as a prophetic model.
abdelkader,abraham_lincoln,Abraham Lincoln,9,shared_object_site,-,,own,A pair of Colt revolvers presented by the United States after the Damascus rescue connects Abdelkader with Lincoln’s government.
abdelkader,victor_hugo,Victor-Marie Hugo,3,discourse,,,own,"Hugo reportedly advocated in France for Abdelkader’s liberation during his captivity, although no personal meeting was established."
abdelkader,jean_baptiste_pitois_paul_christian,Jean-Baptiste Pitois,1,wrote_about,+,,mirror,"Pitois wrote about Emir Abdelkader’s resistance, military organization, and role in Algeria in his 1846 book on French Africa, Morocco, and the Sahara."
abdelkader,alexis_de_tocqueville,Alexis-Charles-Henri Clérel de Tocqueville,3,discourse,,,mirror,Tocqueville studied and wrote about the French war against Abdelkader and supported the defeat of his resistance.
abraham,solomon,King Solomon,9,shared_object_site,+,,own,Later biblical tradition associates Abraham's attempted sacrifice at Moriah with the Jerusalem site where Solomon's Temple was built.
abraham,moses,Moses,1,wrote_about,+,,own,"Later Jewish and Christian tradition attributes the transmission or authorship of the Genesis account of Abraham to Moses, although that attribution is disputed."
abraham,apostle_paul,Paul the Apostle,1,wrote_about,+,,own,"Paul wrote about Abraham extensively in Romans and Galatians when discussing faith, righteousness, circumcision, law, promise, and inheritance."
abraham,muhammad,Muhammad ibn Abdullah,1,wrote_about,+,,own,Muhammad's Qur'anic proclamations repeatedly presented Abraham as a prophet and model and appealed to the religion of Abraham.
abraham,flavius_josephus,Flavius Josephus,1,wrote_about,+,,own,Josephus retold and expanded Abraham's biography in Jewish Antiquities.
abraham,maimonides,Maimonides,1,wrote_about,+,,own,"Maimonides wrote about Abraham as a rational discoverer of monotheism, opponent of idolatry, and public teacher."
abraham,s_ren_kierkegaard,Søren Aabye Kierkegaard,1,wrote_about,+,,own,"Kierkegaard made Abraham the central figure of Fear and Trembling in his analysis of faith, ethics, anxiety, silence, and the binding of Isaac."
abraham,igor_stravinsky,Igor Fyodorovich Stravinsky,1,wrote_about,+,,own,"Stravinsky composed Abraham and Isaac, a sacred ballad based on the Hebrew biblical account."
abraham,jordan_maxwell,Jordan Maxwell,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Maxwell’s co-authored *That Old-Time Religion* (2000) discusses Abraham within a theory about the consolidation of ancient Near Eastern tribal gods. This documents Maxwell’s treatment of Abraham, not the historical validity of that interpretation. [Book text and contents](https://epdf.mx/that-old-time-religion-the-story-of-religious-foundations.html)"
abraham,jan_amos_comenius,Jan Amos Komenský,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Comenius made the biblical patriarch the protagonist of *Abrahamus patriarcha*, a Latin school drama written for performance at Leszno and published in 1641. The play treated Abraham as an exemplar of faith, household government, hospitality, and education. The Czech Academy’s Comeniology department groups it with Comenius’s early dramatic works. [Czech Academy, *Diogenes and Abraham*](https://komeniologie.flu.cas.cz/cz/vedecka-a-edicni-cinnost/comenius/diogenes-kynik-znovu-nazivu-a-patriarcha-abraham)"
abraham,guaman_poma_de_ayala,Felipe Guamán Poma de Ayala,1,wrote_about,+,,mirror,Guamán Poma incorporated this biblical or Christian authority into his universal history and moral argument.
abraham,emanuel_swedenborg,Emanuel Swedenborg,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Swedenborg made Abraham a recurring subject of *Arcana Coelestia* (1749–56), his verse-by-verse spiritual interpretation of Genesis and Exodus. He treated the patriarchal narrative correspondentially rather than merely as biography. [Swedenborg Foundation](https://swedenborg.com/emanuel-swedenborg/writings/)"
abraham,h_g_wells,Herbert George Wells,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** Wells treated Abraham as an ancestral Hebrew patriarch in the chapters on early Jewish history in *The Outline of History* (1919–20) and its condensation, *A Short History of the World* (1922). This is a later writer’s historical treatment of an earlier figure, not a personal crossing. [Primary text](https://www.gutenberg.org/files/35461/35461-h/35461-h.htm)"
abraham,blaise_de_vigenere,Blaise de Vigenère,1,wrote_about,+,,mirror,"- **[T1-]** **Documented fact:** In the 1586 *Traicté des chiffres*, Vigenère interpreted the biblical change from Abram to Abraham through Hebrew letter-number correspondences and connected it with Sarah’s fertility. [Primary-text transcription, fols. 149r–150r](https://wulfric.artsci.utoronto.ca/rentexte/vigenere/chif_traite.htm)"
abraham,abu_karib,Abu Karib As'ad,9,shared_object_site,+,,mirror,"In the legend, Abīkarib later venerates the Kaʿba as the sacred House of Abraham."
abraham,amir_khusrow,Amir Khusrow Dehlavi,1,wrote_about,+,,mirror,Khusrow’s Khaza’in al-futuh invoked the earlier scriptural account of Abraham breaking idols.
abraham,ahmad_al_majriti,Ahmad al-Majriti,1,wrote_about,+,,mirror,"The literature associated with Ahmad al-Majriti places Abraham within its textual world of ancient sages, prophecy, astrology, and magic."
abraham,ibn_arabi,Ibn Arabi,1,wrote_about,+,,mirror,Ibn Arabi repeatedly treated Abraham as a foundational prophetic figure and dedicated a wisdom of the Fusus al-hikam to him.
abraham,richard_dawkins,Richard Dawkins,1,wrote_about,+,,mirror,Dawkins discussed this religious figure and the associated biblical narratives in several of his books.
